name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
household cluster E2,,1.8531746031746033,6143.345100277381,4.373e+06,4.522e+05,1.12e+08,Ecological Scarcity total 2021,UBP
household cluster E3,,2.458181818181818,8590.600516662182,4.333e+06,2.106e+06,1.645e+08,Ecological Scarcity total 2021,UBP
household cluster E4,,2.7137546468401488,11587.541887706318,7.376e+06,2.93e+06,1.661e+08,Ecological Scarcity total 2021,UBP
household cluster E5,,2.96875,18697.487986558037,8.228e+06,8.251e+06,1.758e+08,Ecological Scarcity total 2021,UBP
household cluster Ea,,1.0,6379.548068900805,3.419e+06,2.12e+06,7.119e+07,Ecological Scarcity total 2021,UBP
household cluster Ec,,2.0,12059.838290568267,2.301e+06,2.94e+06,1.394e+08,Ecological Scarcity total 2021,UBP
household cluster Ed,,2.0,7997.384211854974,2.485e+06,2.09e+06,1.605e+08,Ecological Scarcity total 2021,UBP
household cluster Ef,,3.866279069767442,12509.090365155524,3.901e+06,3.575e+06,2.067e+08,Ecological Scarcity total 2021,UBP
household cluster F,,2.332686711930165,10292.56795985998,2.845e+06,2.496e+06,1.417e+08,Ecological Scarcity total 2021,UBP
household cluster F1,,1.3225806451612903,3575.216625648602,1.795e+06,2.272e+06,9.87e+07,Ecological Scarcity total 2021,UBP
household cluster F2,,1.75,6211.985088691666,3.669e+06,3.952e+06,1.181e+08,Ecological Scarcity total 2021,UBP
household cluster F3,,2.5833333333333335,8693.43321229706,1.548e+06,1.522e+05,1.499e+08,Ecological Scarcity total 2021,UBP
household cluster F4,,2.7222222222222223,11712.409527566204,6.575e+06,3.891e+06,1.638e+08,Ecological Scarcity total 2021,UBP
household cluster F5,,3.1085972850678734,19801.183180493215,9.05e+06,7.316e+06,1.705e+08,Ecological Scarcity total 2021,UBP
household cluster Fa,,1.0,6895.372913751264,3.414e+06,2.156e+06,6.709e+07,Ecological Scarcity total 2021,UBP
household cluster Fc,,2.0,13178.859481545,6.131e+06,5.119e+06,1.272e+08,Ecological Scarcity total 2021,UBP
household cluster Fd,,2.0,7572.3096104211545,7.417e+05,1.692e+06,1.421e+08,Ecological Scarcity total 2021,UBP
household cluster Ff,,3.8664495114006514,13571.030695053096,7.344e+06,2.191e+06,2.163e+08,Ecological Scarcity total 2021,UBP
household cluster G,,2.2719703977798336,8385.15223066235,3.224e+06,3.685e+06,1.234e+08,Ecological Scarcity total 2021,UBP
household cluster G1,,1.4893617021276595,3396.6900451585107,1.223e+06,3.702e+05,8.99e+07,Ecological Scarcity total 2021,UBP
household cluster G2,,2.080769230769231,6077.511778188846,-6.479e+05,2.034e+06,1.164e+08,Ecological Scarcity total 2021,UBP
household cluster G3,,2.4776785714285716,8468.683629241965,2.261e+06,5.095e+05,1.254e+08,Ecological Scarcity total 2021,UBP
household cluster G4,,2.977272727272727,11628.980371511365,5.818e+06,2.373e+06,1.37e+08,Ecological Scarcity total 2021,UBP
household cluster Ga,,1.0,6155.996830226,3.411e+06,3.201e+06,5.913e+07,Ecological Scarcity total 2021,UBP
household cluster Gc,,2.0,10167.092541282458,4.501e+06,3.478e+06,1.229e+08,Ecological Scarcity total 2021,UBP
household cluster Gd,,2.0,7042.599187297661,3.702e+06,1.661e+06,1.378e+08,Ecological Scarcity total 2021,UBP
household cluster Gf,,3.7607973421926912,11260.805230843755,2.384e+06,1.347e+06,1.681e+08,Ecological Scarcity total 2021,UBP
household cluster Gro_Ein_rest,,2.9928057553956835,18580.174301769785,1.01e+07,5.994e+06,1.511e+08,Ecological Scarcity total 2021,UBP
household cluster Gro_Hau_rest,,2.1404893449092346,7929.913073943179,1.621e+06,2.779e+06,1.34e+08,Ecological Scarcity total 2021,UBP
household cluster Hau_Ein_rest,,2.431980906921241,11003.886974211251,4.027e+06,4.917e+06,1.385e+08,Ecological Scarcity total 2021,UBP
household cluster a,,1.0,6885.896880683625,2.36e+06,1.224e+06,8.03e+07,Ecological Scarcity total 2021,UBP
household cluster a1,,1.0,3326.2530925594074,2.787e+06,6.961e+05,6.445e+07,Ecological Scarcity total 2021,UBP
household cluster a2,,1.0,6111.259063606821,1.874e+06,2.752e+06,7.042e+07,Ecological Scarcity total 2021,UBP
household cluster a3,,1.0,8408.451300857294,3.226e+06,3.299e+06,7.428e+07,Ecological Scarcity total 2021,UBP
household cluster a4,,1.0,11490.388343383824,4.118e+06,3.366e+06,6.972e+07,Ecological Scarcity total 2021,UBP
household cluster b,,1.0,4739.27891775395,2.752e+06,2.523e+06,7.915e+07,Ecological Scarcity total 2021,UBP
household cluster b1,,1.0,3265.6663342762645,3.035e+06,-9.419e+05,7.485e+07,Ecological Scarcity total 2021,UBP
household cluster b2,,1.0,5846.837739887398,3.408e+06,1.673e+06,7.464e+07,Ecological Scarcity total 2021,UBP
household cluster c,,2.0,12704.516959991446,4.784e+06,2.07e+06,1.43e+08,Ecological Scarcity total 2021,UBP
household cluster c2,,2.0,6254.243038694652,5.55e+06,1.722e+06,1.261e+08,Ecological Scarcity total 2021,UBP
household cluster c3,,2.0,8706.444116756666,3.585e+06,1.523e+06,1.326e+08,Ecological Scarcity total 2021,UBP
household cluster c4,,2.0,11718.383682110352,6.296e+05,1.937e+06,1.458e+08,Ecological Scarcity total 2021,UBP
household cluster c5,,2.0,19370.098448245666,5.572e+06,6.76e+06,1.282e+08,Ecological Scarcity total 2021,UBP
household cluster d,,2.0,8152.322628641215,3.191e+06,4.84e+06,1.503e+08,Ecological Scarcity total 2021,UBP
household cluster d1,,2.0,4011.5966759971343,1.496e+06,3.029e+06,1.373e+08,Ecological Scarcity total 2021,UBP
household cluster d2,,2.0,6126.670324633134,1.588e+06,5.588e+06,1.506e+08,Ecological Scarcity total 2021,UBP
household cluster d3,,2.0,8441.413148125424,2.072e+06,2.25e+06,1.525e+08,Ecological Scarcity total 2021,UBP
household cluster d4,,2.0,11399.6283731933,-6.516e+04,5.786e+06,1.625e+08,Ecological Scarcity total 2021,UBP
household cluster e,,2.6013513513513513,7874.58643264928,3.924e+06,3.006e+06,1.371e+08,Ecological Scarcity total 2021,UBP
household cluster f,,3.8630769230769233,13452.471291955128,3.807e+06,3.724e+06,2.053e+08,Ecological Scarcity total 2021,UBP
household cluster f2,,3.7819905213270144,6380.4568533431275,8.692e+05,1.135e+06,1.639e+08,Ecological Scarcity total 2021,UBP
household cluster f3,,3.830570902394107,8688.641724251565,8.972e+05,2.664e+06,2.005e+08,Ecological Scarcity total 2021,UBP
household cluster f4,,3.8581818181818184,11698.914336062424,1.758e+06,2.1e+06,1.944e+08,Ecological Scarcity total 2021,UBP
household cluster f5,,3.908530318602261,19629.199431377183,5.921e+06,3.651e+06,2.051e+08,Ecological Scarcity total 2021,UBP
household cluster g,,3.073446327683616,12561.323618375509,6.066e+06,6.312e+05,1.739e+08,Ecological Scarcity total 2021,UBP
