name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
"Games, toys and hobbies",CHF,,,0.4556,0.4556,0,GWP100 IPCC 2021,kg CO2-eq
Garlic,kilogram,,,-0.253,-0.1459,9.586,GWP100 IPCC 2021,kg CO2-eq
Garments for children (between 0 and 13 years),CHF,,,0.5422,0.5422,0,GWP100 IPCC 2021,kg CO2-eq
Garments for men,CHF,,,0.5422,0.5422,0,GWP100 IPCC 2021,kg CO2-eq
Garments for women,CHF,,,0.5422,0.5422,0,GWP100 IPCC 2021,kg CO2-eq
Gasoline,litre,,,4.863,4.802,0.6461,GWP100 IPCC 2021,kg CO2-eq
Glasses and contact lenses,CHF,,,0.2038,0.2038,8.327e-17,GWP100 IPCC 2021,kg CO2-eq
"Glassware, tableware",CHF,,,0.6321,0.6321,0,GWP100 IPCC 2021,kg CO2-eq
Grapes,kilogram,,,0.3455,0.3489,0.776,GWP100 IPCC 2021,kg CO2-eq
Green salads and other leafy vegetables,kilogram,,,3.046,3.048,0.6922,GWP100 IPCC 2021,kg CO2-eq
Hair care products,CHF,,,0.0009313,0.0009313,4.337e-19,GWP100 IPCC 2021,kg CO2-eq
"Ham, bacon and other cured or smoked pork",kilogram,,,12.44,12.31,1.175,GWP100 IPCC 2021,kg CO2-eq
Hard and semi-hard cheese,kilogram,,,14.67,14.26,3.241,GWP100 IPCC 2021,kg CO2-eq
"Hare, game and rabbit meat",kilogram,,,25.81,25.73,1.43,GWP100 IPCC 2021,kg CO2-eq
Honey,kilogram,,,0.2668,0.2636,0.03817,GWP100 IPCC 2021,kg CO2-eq
Horse meat,kilogram,,,25.81,25.73,1.43,GWP100 IPCC 2021,kg CO2-eq
Household textiles,CHF,,,0.7255,0.7255,0,GWP100 IPCC 2021,kg CO2-eq
Ice cream,kilogram,,,1.174,1.167,0.1349,GWP100 IPCC 2021,kg CO2-eq
Instant coffee and coffee surrogates,kilogram,,,11.08,10.93,1.29,GWP100 IPCC 2021,kg CO2-eq
"Jams, marmalades, compotes",kilogram,,,0.2668,0.2636,0.03817,GWP100 IPCC 2021,kg CO2-eq
"Jewellery, clocks and watches",CHF,,,0.4434,0.4434,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Kitchen utensils,CHF,,,0.2116,0.2116,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
"Large trout, 2-4kg, conventional, at farm gate",kilogram,,,1.642,1.623,0.3122,GWP100 IPCC 2021,kg CO2-eq
Lemons,kilogram,,,0.1658,0.1636,0.2305,GWP100 IPCC 2021,kg CO2-eq
"Luggage, leather and baby goods",CHF,,,0.6865,0.6865,0,GWP100 IPCC 2021,kg CO2-eq
Machines with engines for house and garden,CHF,,,0.1905,0.1905,0,GWP100 IPCC 2021,kg CO2-eq
Maintenance and repair of the dwelling,CHF,,,0.2209,0.2209,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Margarine,kilogram,,,0.8472,0.8402,0.08614,GWP100 IPCC 2021,kg CO2-eq
"Medical products, therapeutic devices and products",CHF,,,0.2038,0.2038,8.327e-17,GWP100 IPCC 2021,kg CO2-eq
Medical services and hospital services,CHF,,,0.1439,0.1439,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Medicines,CHF,,,0.0009313,0.0009313,4.337e-19,GWP100 IPCC 2021,kg CO2-eq
Melons and watermelons,kilogram,,,0.2931,0.3055,0.8038,GWP100 IPCC 2021,kg CO2-eq
Milk-based beverages and other similar milk-based products,litre,,,0.5337,0.5313,0.05998,GWP100 IPCC 2021,kg CO2-eq
Mineral water,litre,,,0.0006014,0.0005966,4.623e-05,GWP100 IPCC 2021,kg CO2-eq
Miscellaneous printed matter,CHF,,,0.1507,0.1507,0,GWP100 IPCC 2021,kg CO2-eq
Mobile telephony,CHF,,,0.09453,0.09453,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
"Museums, exhibitions, libraries, zoological gardens",CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
"Mushrooms and vegetables, dried",kilogram,,,0.5956,0.5938,0.06847,GWP100 IPCC 2021,kg CO2-eq
Music and dance classes,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Natural gas and other fuels of principal residence,megajoule,,,0.08321,0.08254,0.008615,GWP100 IPCC 2021,kg CO2-eq
Newspapers and periodicals,kilogram,,,0.04476,0.04406,0.005541,GWP100 IPCC 2021,kg CO2-eq
Non-alcoholic soft drinks,litre,,,0.667,0.659,0.09542,GWP100 IPCC 2021,kg CO2-eq
Non-durable products of cotton and paper for personal care,CHF,,,0.2492,0.2492,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Non-electrical appliances for personal care,CHF,,,0.2116,0.2116,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
"Nuts, other edible nuts and seeds oleaginous fruits",kilogram,,,2.025,2.018,0.3511,GWP100 IPCC 2021,kg CO2-eq
Olive oil,litre,,,1.41,1.419,0.6047,GWP100 IPCC 2021,kg CO2-eq
Onions,kilogram,,,-0.253,-0.1459,9.586,GWP100 IPCC 2021,kg CO2-eq
Oranges and other citrus fruits,kilogram,,,0.2519,0.2397,0.3819,GWP100 IPCC 2021,kg CO2-eq
"Other boiled, dried, cured or smoked meat",kilogram,,,25.84,25.81,1.274,GWP100 IPCC 2021,kg CO2-eq
Other cereal products,kilogram,,,1.152,1.16,0.2666,GWP100 IPCC 2021,kg CO2-eq
"Other eatable meat products incl. offal, fresh and frozen",kilogram,,,12.51,12.47,0.6911,GWP100 IPCC 2021,kg CO2-eq
"Other flours and meals, starches, semolina, flakes and grains",kilogram,,,0.5603,0.5593,0.09074,GWP100 IPCC 2021,kg CO2-eq
Other fried fruits,kilogram,,,1.542,1.524,1.216,GWP100 IPCC 2021,kg CO2-eq
Other fruiting vegetables,kilogram,,,2.158,2.156,0.4989,GWP100 IPCC 2021,kg CO2-eq
Other household utensils,CHF,,,0.2116,0.2116,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Other insurance premiums,CHF,,,0.05309,0.05309,0,GWP100 IPCC 2021,kg CO2-eq
