name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
household cluster E,,2.281076801266825,9536.705301779408,1947,1825,516.6,GWP100 IPCC 2021,kg CO2-eq
household cluster E1,,1.4115226337448559,3411.6650700139644,1134,1085,259.7,GWP100 IPCC 2021,kg CO2-eq
household cluster E2,,1.8531746031746033,6143.345100277381,1516,1447,381.7,GWP100 IPCC 2021,kg CO2-eq
household cluster E3,,2.458181818181818,8590.600516662182,1891,1819,450.7,GWP100 IPCC 2021,kg CO2-eq
household cluster E4,,2.7137546468401488,11587.541887706318,2217,2119,515,GWP100 IPCC 2021,kg CO2-eq
household cluster E5,,2.96875,18697.487986558037,2840,2745,624.6,GWP100 IPCC 2021,kg CO2-eq
household cluster Ea,,1.0,6379.548068900805,1291,1198,383.2,GWP100 IPCC 2021,kg CO2-eq
household cluster Ec,,2.0,12059.838290568267,2143,2048,532.5,GWP100 IPCC 2021,kg CO2-eq
household cluster Ed,,2.0,7997.384211854974,1815,1724,445.7,GWP100 IPCC 2021,kg CO2-eq
household cluster Ef,,3.866279069767442,12509.090365155524,2511,2425,558.9,GWP100 IPCC 2021,kg CO2-eq
household cluster F,,2.332686711930165,10292.56795985998,1944,1854,490.7,GWP100 IPCC 2021,kg CO2-eq
household cluster F1,,1.3225806451612903,3575.216625648602,1170,1113,286.5,GWP100 IPCC 2021,kg CO2-eq
household cluster F2,,1.75,6211.985088691666,1558,1500,358.6,GWP100 IPCC 2021,kg CO2-eq
household cluster F3,,2.5833333333333335,8693.43321229706,1828,1755,404.6,GWP100 IPCC 2021,kg CO2-eq
household cluster F4,,2.7222222222222223,11712.409527566204,2081,2001,456.4,GWP100 IPCC 2021,kg CO2-eq
household cluster F5,,3.1085972850678734,19801.183180493215,2740,2632,592.5,GWP100 IPCC 2021,kg CO2-eq
household cluster Fa,,1.0,6895.372913751264,1315,1243,341.1,GWP100 IPCC 2021,kg CO2-eq
household cluster Fc,,2.0,13178.859481545,2181,2057,542,GWP100 IPCC 2021,kg CO2-eq
household cluster Fd,,2.0,7572.3096104211545,1751,1681,404,GWP100 IPCC 2021,kg CO2-eq
household cluster Ff,,3.8664495114006514,13571.030695053096,2429,2342,514.2,GWP100 IPCC 2021,kg CO2-eq
household cluster G,,2.2719703977798336,8385.15223066235,1802,1718,488.8,GWP100 IPCC 2021,kg CO2-eq
household cluster G1,,1.4893617021276595,3396.6900451585107,1124,1067,287.5,GWP100 IPCC 2021,kg CO2-eq
household cluster G2,,2.080769230769231,6077.511778188846,1529,1457,377.1,GWP100 IPCC 2021,kg CO2-eq
household cluster G3,,2.4776785714285716,8468.683629241965,1901,1802,500.1,GWP100 IPCC 2021,kg CO2-eq
household cluster G4,,2.977272727272727,11628.980371511365,2177,2081,524.6,GWP100 IPCC 2021,kg CO2-eq
household cluster Ga,,1.0,6155.996830226,1274,1188,387,GWP100 IPCC 2021,kg CO2-eq
household cluster Gc,,2.0,10167.092541282458,2044,1967,482.2,GWP100 IPCC 2021,kg CO2-eq
household cluster Gd,,2.0,7042.599187297661,1750,1669,394.3,GWP100 IPCC 2021,kg CO2-eq
household cluster Gf,,3.7607973421926912,11260.805230843755,2225,2130,544.9,GWP100 IPCC 2021,kg CO2-eq
household cluster Gro_Ein_rest,,2.9928057553956835,18580.174301769785,2678,2624,574.6,GWP100 IPCC 2021,kg CO2-eq
household cluster Gro_Hau_rest,,2.1404893449092346,7929.913073943179,1598,1503,428.2,GWP100 IPCC 2021,kg CO2-eq
household cluster Hau_Ein_rest,,2.431980906921241,11003.886974211251,1920,1795,536.5,GWP100 IPCC 2021,kg CO2-eq
household cluster a,,1.0,6885.896880683625,1306,1217,433.4,GWP100 IPCC 2021,kg CO2-eq
household cluster a1,,1.0,3326.2530925594074,1022,961.6,300.9,GWP100 IPCC 2021,kg CO2-eq
household cluster a2,,1.0,6111.259063606821,1258,1194,333.2,GWP100 IPCC 2021,kg CO2-eq
household cluster a3,,1.0,8408.451300857294,1464,1329,504.2,GWP100 IPCC 2021,kg CO2-eq
household cluster a4,,1.0,11490.388343383824,1601,1503,431.8,GWP100 IPCC 2021,kg CO2-eq
household cluster b,,1.0,4739.27891775395,1073,1011,261.1,GWP100 IPCC 2021,kg CO2-eq
household cluster b1,,1.0,3265.6663342762645,939,898.3,208,GWP100 IPCC 2021,kg CO2-eq
household cluster b2,,1.0,5846.837739887398,1186,1139,234.1,GWP100 IPCC 2021,kg CO2-eq
household cluster c,,2.0,12704.516959991446,2144,2023,537.4,GWP100 IPCC 2021,kg CO2-eq
household cluster c2,,2.0,6254.243038694652,1662,1591,373.8,GWP100 IPCC 2021,kg CO2-eq
household cluster c3,,2.0,8706.444116756666,1872,1759,485.9,GWP100 IPCC 2021,kg CO2-eq
household cluster c4,,2.0,11718.383682110352,2089,1978,506.2,GWP100 IPCC 2021,kg CO2-eq
household cluster c5,,2.0,19370.098448245666,2492,2376,618.2,GWP100 IPCC 2021,kg CO2-eq
household cluster d,,2.0,8152.322628641215,1825,1733,441.2,GWP100 IPCC 2021,kg CO2-eq
household cluster d1,,2.0,4011.5966759971343,1402,1353,309.2,GWP100 IPCC 2021,kg CO2-eq
household cluster d2,,2.0,6126.670324633134,1678,1604,389.4,GWP100 IPCC 2021,kg CO2-eq
household cluster d3,,2.0,8441.413148125424,1862,1770,420.5,GWP100 IPCC 2021,kg CO2-eq
household cluster d4,,2.0,11399.6283731933,2054,1987,454.7,GWP100 IPCC 2021,kg CO2-eq
household cluster e,,2.6013513513513513,7874.58643264928,1721,1624,456.7,GWP100 IPCC 2021,kg CO2-eq
household cluster f,,3.8630769230769233,13452.471291955128,2504,2380,649.4,GWP100 IPCC 2021,kg CO2-eq
household cluster f2,,3.7819905213270144,6380.4568533431275,1737,1664,400.1,GWP100 IPCC 2021,kg CO2-eq
household cluster f3,,3.830570902394107,8688.641724251565,2072,1986,474.1,GWP100 IPCC 2021,kg CO2-eq
household cluster f4,,3.8581818181818184,11698.914336062424,2373,2277,535.8,GWP100 IPCC 2021,kg CO2-eq
household cluster f5,,3.908530318602261,19629.199431377183,3021,2909,666.4,GWP100 IPCC 2021,kg CO2-eq
household cluster g,,3.073446327683616,12561.323618375509,2091,1952,597.5,GWP100 IPCC 2021,kg CO2-eq
